Id unico Global Espira,Zona,ID Espira Por zona,ID Cruzamento,Lon (DecDegrees),Lat (DecDegrees)
5a535bcea33116f026ef65bd,1,4,65,-9.14155840874,38.7063641746
5a535bcea33116f026ef6809,1,5,65,-9.14215922356,38.7065902281
5a535bcea33116f026ef6803,1,2,61,-9.13371026516,38.7074902488
5a535bcea33116f026ef65c4,1,12,60,-9.13203120232,38.7080553723
5a535bcea33116f026ef65e5,2,19,213,-9.13755118847,38.7091144435
5a535bcea33116f026ef6822,2,20,247,-9.13608670235,38.7099097832
5a535bcea33116f026ef6912,2,21,228,-9.13468122482,38.7102111727
5a535bcea33116f026ef65d3,2,4,220,-9.13865625858,38.7109269678
5a535bcea33116f026ef681c,2,17,211,-9.13882255554,38.7112995133
5a535bcea33116f026ef6815,2,5,209,-9.13910150528,38.7140035493
5a535bcea33116f026ef68ff,2,3,235,-9.14005100727,38.7144263073
5a535bcea33116f026ef6903,2,6,1,-9.14107561111,38.71501649
5a535bcea33116f026ef680e,2,2,4,-9.14281368256,38.7169209471
5a535bcea33116f026ef65cc,2,1,4,-9.14291024208,38.7170506994
5a535bcea33116f026ef6611,3,17,33,-9.15734052658,38.7175697066
5a535bcea33116f026ef6847,3,18,30,-9.15375173092,38.7203906956
5a535bcea33116f026ef6924,3,19,30,-9.15340840816,38.7205622952
5a535bcea33116f026ef661f,3,20,31,-9.15566146374,38.7205622952
5a535bcea33116f026ef6919,3,7,4,-9.14584994316,38.7205622952
5a535bcea33116f026ef691c,3,10,76,-9.15233016014,38.7213742487
5a535bcea33116f026ef6627,3,24,588,-9.16865408421,38.7227009775
5a535bcea33116f026ef683a,3,12,6,-9.14840877056,38.723567314
5a535bcea33116f026ef65fc,3,11,6,-9.1485106945,38.7236761285
5a535bcea33116f026ef65ed,3,5,8,-9.15280222893,38.7249986295
5a535bcea33116f026ef682e,3,6,8,-9.15150403976,38.7253543614
5a535bcea33116f026ef6835,3,9,80,-9.14561390877,38.7261662604
5a535bcea33116f026ef6921,3,16,80,-9.14509892464,38.7264759514
5a535bcea33116f026ef6926,3,23,15,-9.1490149498,38.7273087625
5a535bcea33116f026ef6917,3,3,15,-9.14881110191,38.7273882766
5a535bcea33116f026ef6853,3,22,9,-9.14555490017,38.7303971931
5a535bcea33116f026ef6827,3,1,16,-9.14683699608,38.7306357249
5a535bcea33116f026ef6931,4,11,323,-9.14063572884,38.7255468743
5a535bcea33116f026ef6648,4,12,43,-9.1458016634,38.7274845304
5a535bcea33116f026ef662f,4,2,16,-9.14556026459,38.7322510244
5a535bcea33116f026ef6929,4,1,16,-9.14548516273,38.7324100415
5a535bcea33116f026ef6861,4,6,175,-9.14779186249,38.7359752803
5a535bcea33116f026ef692b,4,4,20,-9.14560317993,38.7373728723
5a535bcea33116f026ef6858,4,3,20,-9.14565145969,38.7375444311
5a535bcea33116f026ef6939,5,9,131,-9.15274858475,38.7391177317
