id,date,value,hour
12:9,2018-11-04,3205.0,13:30
3:9,2018-11-10,3886.0,07:15
3:9,2018-11-10,3467.0,07:30
3:9,2018-11-10,3002.0,07:45
3:9,2018-11-10,2446.0,08:45
3:9,2018-11-10,3391.0,09:00
3:9,2018-11-10,3720.0,09:15
3:9,2018-11-10,3694.0,09:30
3:9,2018-11-10,3417.0,09:45
3:9,2018-11-10,3028.0,10:00
3:9,2018-11-10,3028.0,10:15
3:9,2018-11-10,2971.0,13:00
3:9,2018-11-10,2741.0,13:15
3:9,2018-11-10,2391.0,13:30
3:9,2018-11-10,3111.0,13:45
3:9,2018-11-10,4555.0,14:00
3:9,2018-11-10,4100.0,14:15
3:9,2018-11-10,3906.0,14:30
3:9,2018-11-10,2227.0,14:45
3:9,2018-11-10,2181.0,16:00
3:9,2018-11-10,3555.0,16:15
3:9,2018-11-10,2823.0,16:30
3:9,2018-11-10,3567.0,16:45
3:9,2018-11-10,3519.0,17:00
3:9,2018-11-10,3385.0,17:15
3:9,2018-11-10,3409.0,17:30
3:9,2018-11-10,2875.0,17:45
3:9,2018-11-10,2150.0,18:45
3:9,2018-11-10,2696.0,19:00
3:9,2018-11-10,3516.0,19:15
3:9,2018-11-10,3696.0,19:30
3:9,2018-11-10,2867.0,19:45
3:9,2018-11-10,2805.0,20:00
3:9,2018-11-10,3177.0,20:15
3:9,2018-11-10,3203.0,20:30
3:9,2018-11-10,3514.0,20:45
3:9,2018-11-10,2066.0,21:00
3:9,2018-11-10,2534.0,21:30
3:9,2018-11-10,2210.0,22:00
3:9,2018-11-10,3296.0,22:15
3:9,2018-11-10,2840.0,23:15
12:9,2018-12-20,2014.0,09:30
12:9,2018-12-20,2441.0,09:45
12:20,2018-12-20,2033.0,19:30
3:3,2018-12-23,2084.0,13:00
3:5,2018-12-23,2066.0,16:30
3:9,2018-12-23,2247.0,07:45
3:9,2018-12-23,2569.0,08:00
3:9,2018-12-23,2474.0,08:15
3:9,2018-12-23,3280.0,08:30
3:9,2018-12-23,2467.0,08:45
3:9,2018-12-23,2049.0,11:00
3:9,2018-12-23,2838.0,11:15
3:9,2018-12-23,2200.0,11:30
3:9,2018-12-23,2460.0,13:00
3:9,2018-12-23,2766.0,13:15
3:9,2018-12-23,3048.0,13:30
3:9,2018-12-23,3251.0,15:00
3:9,2018-12-23,2950.0,15:15
3:9,2018-12-23,3708.0,15:30
3:9,2018-12-23,2869.0,15:45
7:6,2018-10-16,2190.0,17:30
12:4,2019-01-01,2127.0,01:45
12:9,2019-01-01,2051.0,17:15
21:4,2018-11-05,2489.0,06:45
