Espiras em falta
Zona: 1 ID: 4
Zona: 1 ID: 5
Zona: 1 ID: 2
Zona: 1 ID: 12
Zona: 3 ID: 12
Zona: 3 ID: 11
Zona: 4 ID: 11
Zona: 4 ID: 12
Zona: 4 ID: 2
Zona: 4 ID: 4
Zona: 4 ID: 3
Zona: 5 ID: 6
Zona: 6 ID: 21
Zona: 6 ID: 22
Zona: 6 ID: 23
Zona: 6 ID: 24
Zona: 6 ID: 3
Zona: 6 ID: 6
Zona: 6 ID: 8
Zona: 6 ID: 18
Zona: 6 ID: 5
Zona: 6 ID: 19
Zona: 6 ID: 4
Zona: 6 ID: 20
Zona: 6 ID: 17
Zona: 7 ID: 10
Zona: 7 ID: 11
Zona: 7 ID: 9
Zona: 7 ID: 2
Zona: 7 ID: 8
Zona: 9 ID: 4
Zona: 9 ID: 3
Zona: 10 ID: 3
Zona: 10 ID: 2
Zona: 13 ID: 1
Zona: 13 ID: 2
Zona: 13 ID: 4
Zona: 21 ID: 23
Zona: 22 ID: 8
Zona: 23 ID: 2
Zona: 23 ID: 1
Zona: 23 ID: 7
Zona: 23 ID: 8
Zona: 23 ID: 3
Zona: 23 ID: 4
Zona: 23 ID: 5
Espiras nao georreferenciadas
Zona: 7 ID: 5
Zona: 12 ID: 14
Zona: 3 ID: 8
Zona: 3 ID: 13
Zona: 3 ID: 14
Zona: 6 ID: 2
Zona: 14 ID: 9
Zona: 14 ID: 1
Zona: 14 ID: 3
Zona: 14 ID: 5
Zona: 10 ID: 7
Zona: 14 ID: 10
Zona: 14 ID: 4
