Zona,ID Espira Por zona,Id Único Global Espira,ID Cruzamento,lon,lat
6,1,5a904305287e9d20ae6c0906,159,0,0
6,10,5a9042ad287e9d20ae6c0391,159,0,0
6,11,5a9042ad287e9d20ae6c0395,159,0,0
6,12,5a9042ad287e9d20ae6c0396,93,0,0
6,13,5a9042ae287e9d20ae6c039a,160,0,0
6,14,5aac077b287e9d20ae5d3670,157,0,0
6,15,5a9042ae287e9d20ae6c039b,157,0,0
6,16,5a9042ae287e9d20ae6c03ad,93,0,0
6,21,5a912497287e9d20ae73bc16,154,0,0
6,22,5a920824287e9d20ae7ae1af,154,0,0
6,23,5a9042af287e9d20ae6c03be,270,0,0
6,24,5a90fee7287e9d20ae72f06b,280,0,0
6,3,5a904305287e9d20ae6c0907,154,0,0
6,6,5a904306287e9d20ae6c090a,270,0,0
6,7,5a904306287e9d20ae6c090b,93,0,0
6,8,5a9042ac287e9d20ae6c038d,153,0,0
6,9,5a9042ad287e9d20ae6c0392,159,0,0
10,1,5a535bcea33116f026ef6741,75,-9.17611598969,38.70147036
10,4,5a535bcea33116f026ef674b,75,-9.17620182037,38.7015415299
10,3,5a535bcea33116f026ef6960,40,-9.16832149029,38.7036096136
9,4,5a535bcea33116f026ef68db,73,-9.16133165359,38.7040366193
10,2,5a535bcea33116f026ef68e1,73,-9.16117608547,38.7040826688
10,9,5a535bcfa33116f026ef6964,604,-9.17412042618,38.7060418378
1,4,5a535bcea33116f026ef65bd,65,-9.14155840874,38.7063641746
9,1,5a535bcea33116f026ef695a,70,-9.15213704109,38.7064939461
9,3,5a535bcea33116f026ef6737,65,-9.14162814617,38.7065525526
1,5,5a535bcea33116f026ef6809,65,-9.14215922356,38.7065902281
10,5,5a535bcea33116f026ef68e7,604,-9.17555809021,38.7068079086
1,2,5a535bcea33116f026ef6803,61,-9.13371026516,38.7074902488
1,12,5a535bcea33116f026ef65c4,60,-9.13203120232,38.7080553723
10,8,5a535bcea33116f026ef68ed,605,-9.17367517948,38.7080721166
2,19,5a535bcea33116f026ef65e5,213,-9.13755118847,38.7091144435
2,20,5a535bcea33116f026ef6822,247,-9.13608670235,38.7099097832
2,21,5a535bcea33116f026ef6912,228,-9.13468122482,38.7102111727
2,4,5a535bcea33116f026ef65d3,220,-9.13865625858,38.7109269678
2,17,5a535bcea33116f026ef681c,211,-9.13882255554,38.7112995133
10,6,5a535bcfa33116f026ef6962,400,-9.17530596256,38.7121952889
2,5,5a535bcea33116f026ef6815,209,-9.13910150528,38.7140035493
2,3,5a535bcea33116f026ef68ff,235,-9.14005100727,38.7144263073
2,6,5a535bcea33116f026ef6903,1,-9.14107561111,38.71501649
2,2,5a535bcea33116f026ef680e,4,-9.14281368256,38.7169209471
2,1,5a535bcea33116f026ef65cc,4,-9.14291024208,38.7170506994
3,17,5a535bcea33116f026ef6611,33,-9.15734052658,38.7175697066
3,18,5a535bcea33116f026ef6847,30,-9.15375173092,38.7203906956
3,19,5a535bcea33116f026ef6924,30,-9.15340840816,38.7205622952
3,20,5a535bcea33116f026ef661f,31,-9.15566146374,38.7205622952
3,7,5a535bcea33116f026ef6919,4,-9.14584994316,38.7205622952
3,10,5a535bcea33116f026ef691c,76,-9.15233016014,38.7213742487
