t-4,t-3,t-2,t-1,Y
28.0,15.0,17.0,5.0,7.0
15.0,17.0,5.0,7.0,12.0
17.0,5.0,7.0,12.0,5.0
5.0,7.0,12.0,5.0,2.0
7.0,12.0,5.0,2.0,1.0
12.0,5.0,2.0,1.0,3.0
5.0,2.0,1.0,3.0,7.0
2.0,1.0,3.0,7.0,2.0
1.0,3.0,7.0,2.0,4.0
3.0,7.0,2.0,4.0,4.0
7.0,2.0,4.0,4.0,2.0
2.0,4.0,4.0,2.0,5.0
4.0,4.0,2.0,5.0,4.0
4.0,2.0,5.0,4.0,3.0
2.0,5.0,4.0,3.0,3.0
5.0,4.0,3.0,3.0,6.0
4.0,3.0,3.0,6.0,5.0
3.0,3.0,6.0,5.0,4.0
3.0,6.0,5.0,4.0,7.0
6.0,5.0,4.0,7.0,12.0
5.0,4.0,7.0,12.0,19.0
4.0,7.0,12.0,19.0,19.0
7.0,12.0,19.0,19.0,17.0
12.0,19.0,19.0,17.0,18.0
19.0,19.0,17.0,18.0,16.0
19.0,17.0,18.0,16.0,28.0
17.0,18.0,16.0,28.0,27.0
18.0,16.0,28.0,27.0,30.0
16.0,28.0,27.0,30.0,39.0
28.0,27.0,30.0,39.0,39.0
27.0,30.0,39.0,39.0,35.0
30.0,39.0,39.0,35.0,47.0
39.0,39.0,35.0,47.0,43.0
39.0,35.0,47.0,43.0,49.0
35.0,47.0,43.0,49.0,56.0
47.0,43.0,49.0,56.0,53.0
43.0,49.0,56.0,53.0,59.0
49.0,56.0,53.0,59.0,42.0
56.0,53.0,59.0,42.0,45.0
53.0,59.0,42.0,45.0,47.0
59.0,42.0,45.0,47.0,46.0
42.0,45.0,47.0,46.0,57.0
45.0,47.0,46.0,57.0,62.0
47.0,46.0,57.0,62.0,52.0
46.0,57.0,62.0,52.0,59.666666666666664
57.0,62.0,52.0,59.666666666666664,53.0
62.0,52.0,59.666666666666664,53.0,59.0
52.0,59.666666666666664,53.0,59.0,63.0
59.666666666666664,53.0,59.0,63.0,63.0
53.0,59.0,63.0,63.0,55.0
59.0,63.0,63.0,55.0,49.0
63.0,63.0,55.0,49.0,44.0
63.0,55.0,49.0,44.0,61.0
55.0,49.0,44.0,61.0,66.0
49.0,44.0,61.0,66.0,61.0
44.0,61.0,66.0,61.0,58.0
61.0,66.0,61.0,58.0,54.0
66.0,61.0,58.0,54.0,50.0
61.0,58.0,54.0,50.0,59.0
58.0,54.0,50.0,59.0,56.0
54.0,50.0,59.0,56.0,64.0
50.0,59.0,56.0,64.0,68.0
59.0,56.0,64.0,68.0,88.0
56.0,64.0,68.0,88.0,80.0
64.0,68.0,88.0,80.0,81.0
68.0,88.0,80.0,81.0,80.0
88.0,80.0,81.0,80.0,71.0
80.0,81.0,80.0,71.0,83.0
81.0,80.0,71.0,83.0,72.0
80.0,71.0,83.0,72.0,70.0
71.0,83.0,72.0,70.0,61.0
83.0,72.0,70.0,61.0,88.0
72.0,70.0,61.0,88.0,80.0
70.0,61.0,88.0,80.0,89.0
61.0,88.0,80.0,89.0,86.0
88.0,80.0,89.0,86.0,73.0
80.0,89.0,86.0,73.0,63.0
89.0,86.0,73.0,63.0,62.0
86.0,73.0,63.0,62.0,47.0
73.0,63.0,62.0,47.0,35.0
63.0,62.0,47.0,35.0,42.0
62.0,47.0,35.0,42.0,37.0
47.0,35.0,42.0,37.0,34.0
35.0,42.0,37.0,34.0,39.0
42.0,37.0,34.0,39.0,39.0
37.0,34.0,39.0,39.0,35.0
34.0,39.0,39.0,35.0,33.0
39.0,39.0,35.0,33.0,33.0
39.0,35.0,33.0,33.0,21.0
35.0,33.0,33.0,21.0,19.0
33.0,33.0,21.0,19.0,25.0
33.0,21.0,19.0,25.0,16.0
19.0,17.0,15.0,10.0,9.0
17.0,15.0,10.0,9.0,18.0
15.0,10.0,9.0,18.0,18.0
10.0,9.0,18.0,18.0,6.0
9.0,18.0,18.0,6.0,8.0
18.0,18.0,6.0,8.0,6.0
18.0,6.0,8.0,6.0,5.0
6.0,8.0,6.0,5.0,4.0
8.0,6.0,5.0,4.0,5.0
6.0,5.0,4.0,5.0,3.0
5.0,4.0,5.0,3.0,5.0
4.0,5.0,3.0,5.0,2.0
