round_epochs,loss,mean_absolute_error,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,optimizer,shapes,activation,losses
300,3183.924056168441,48.44434059059227,0.001,32,1,10,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,591.7211680653331,20.320271938449732,0.01,64,2,96,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,2494.7659405048075,42.69537423940805,0.001,16,4,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,3257.4037447415867,49.251499377240194,0.001,64,4,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,73.94825945843706,6.0246395488361735,0.001,16,2,10,200,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,1527.5257973471842,33.43012230841668,0.01,64,3,96,200,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,48.266123195270914,5.203683706430288,0.01,32,2,10,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,710.0188846797734,22.507098589886677,0.001,64,4,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,1057.8231563358515,27.819533128004807,0.001,64,4,10,300,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,291.5446224003048,13.83909435062618,0.001,16,2,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,3900.0717467591003,53.981287685855406,0.001,16,4,96,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,862.5504666841947,25.005331458626213,0.001,16,1,10,400,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,2913.5074771419986,46.39299007038494,0.001,32,4,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,1363.846719259744,31.60099356515067,0.001,32,3,10,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,1083.7816394177112,28.11464393531883,0.01,64,1,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,39.79395960713481,4.660645346065144,0.01,64,1,10,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,42.441751742100976,4.783137897868733,0.01,16,2,10,400,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,38.676210644480946,4.641245045504728,0.01,32,2,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,679.2539491758242,22.06161519564115,0.001,16,3,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,862.3894389058207,24.84331387111119,0.01,64,4,96,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,43.932711433578326,4.837789294483898,0.01,32,2,10,400,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,603.4194841657367,20.723018788767384,0.001,64,4,96,400,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,372.6993714049622,15.982719132140442,0.01,16,2,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,2311.976844200721,41.3335703755473,0.001,32,3,10,400,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,1199.2026643522493,29.606303946526495,0.01,64,2,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,459.9328177315848,17.318426530439776,0.001,16,4,10,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,47.72640685196761,5.086172046242179,0.01,32,3,10,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,3450.359444754464,50.48969346769564,0.001,16,1,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
