Data,0h00,0h15,0h30,0h45,1h00,1h15,1h30,1h45,2h00,2h15,2h30,2h45,3h00,3h15,3h30,3h45,4h00,4h15,4h30,4h45,5h00,5h15,5h30,5h45,6h00,6h15,6h30,6h45,7h00,7h15,7h30,7h45,8h00,8h15,8h30,8h45,9h00,9h15,9h30,9h45,10h00,10h15,10h30,10h45,11h00,11h15,11h30,11h45,12h00,12h15,12h30,12h45,13h00,13h15,13h30,13h45,14h00,14h15,14h30,14h45,15h00,15h15,15h30,15h45,16h00,16h15,16h30,16h45,17h00,17h15,17h30,17h45,18h00,18h15,18h30,18h45,19h00,19h15,19h30,19h45,20h00,20h15,20h30,20h45,21h00,21h15,21h30,21h45,22h00,22h15,22h30,22h45,23h00,23h15,23h30,23h45
2018-10-12,58,45,296,291,42,30,19,503,11,11,10,7,260,4,7,4,13,6,13,5,12,11,15,29,281,545,41,566,332,602,677,1026,538,1028,775,809,311,502,503,724,690,718,668,436,195,916,943,178,162,732,442,1162,1932,235,897,941,691,425,458,201,702,475,981,495,234,247,258,792,969,450,474,478,465,198,1746,726,474,718,762,1016,497,230,710,666,917,621,109,1374,109,84,89,65,78,328,75,60
2018-10-13,301,813,309,48,38,34,29,28,282,23,17,19,21,13,21,20,12,17,18,528,16,17,20,23,24,29,21,49,307,306,59,325,329,80,322,126,380,656,146,657,165,924,944,198,413,148,168,1414,954,447,476,784,252,1474,635,406,624,385,120,643,144,149,144,129,145,686,178,676,154,428,413,166,152,929,428,626,664,1364,383,116,345,320,578,65,51,67,561,46,49,41,57,41,280,296,30,290
2018-10-14,32,531,14,25,534,534,11,256,11,14,9,12,7,10,11,9,8,14,11,7,15,12,12,19,21,11,18,24,29,36,313,302,39,41,58,574,61,572,296,810,340,342,363,95,586,96,120,361,122,376,345,370,397,155,360,575,339,122,355,110,366,394,640,129,639,117,886,646,636,401,892,608,127,656,147,142,1171,365,126,645,391,369,120,107,79,83,92,63,330,66,306,310,576,298,38,34
2018-10-16,171,19,428,20,411,16,7,6,6,216,1,5,214,1,214,4,4,8,4,5,5,9,11,157,21,18,176,31,43,193,338,372,833,886,488,181,420,704,182,517,328,506,122,497,468,229,506,512,499,455,323,143,145,156,307,295,116,266,464,427,448,149,143,598,529,155,564,1280,149,583,262,562,653,489,276,394,158,156,297,902,694,400,109,98,235,65,79,64,61,259,231,44,42,45,423,223
2018-10-17,33,28,169,17,166,11,7,11,5,233,110,6,213,3,1,6,137,3,4,2,7,8,9,541,16,22,24,41,263,231,278,363,420,376,1108,757,797,452,559,365,344,327,595,345,350,311,145,473,140,478,286,314,348,741,289,507,635,175,563,302,303,1164,313,394,164,341,357,424,497,162,572,135,124,557,591,532,548,509,327,346,161,562,269,270,450,404,89,402,145,64,61,228,37,207,253,34
2018-10-18,185,324,414,29,556,11,7,4,6,4,2,5,5,6,2,3,6,6,4,5,5,13,12,18,137,241,41,190,203,68,396,677,208,350,348,551,900,652,419,189,553,163,515,354,547,363,129,625,436,144,451,144,142,516,1050,141,561,135,146,281,334,430,268,302,305,284,0,24,90,683,160,142,160,798,318,730,641,570,415,465,669,560,310,320,314,425,79,63,399,49,60,410,35,246,228,189
2018-10-19,35,31,188,23,18,15,14,15,5,4,6,7,3,8,8,5,5,7,11,3,11,10,13,20,17,147,40,37,47,78,548,752,431,603,399,395,607,1007,196,612,360,303,429,274,118,928,474,133,583,365,287,263,140,407,144,326,329,495,853,120,729,389,722,336,168,725,574,315,944,467,500,558,702,138,529,275,359,444,189,738,165,301,133,110,222,225,218,72,224,228,57,64,477,551,54,50
2018-10-20,65,647,28,31,31,176,211,17,197,21,18,15,11,10,9,10,6,8,11,7,137,13,16,20,18,15,24,29,419,28,228,241,346,257,51,377,77,86,669,102,313,283,91,296,561,117,517,540,305,368,1086,116,478,492,104,109,286,328,295,273,236,265,106,106,321,92,793,115,106,353,106,479,469,118,330,302,341,121,440,290,523,343,67,65,61,62,264,290,60,56,431,47,694,793,52,480
2018-10-21,230,270,183,269,25,20,24,19,24,23,9,19,7,303,17,147,208,9,162,13,175,5,14,8,11,17,12,18,12,21,35,37,30,199,40,236,801,34,283,284,277,462,226,71,234,423,91,336,429,812,86,91,272,296,81,266,360,637,304,92,94,464,93,264,309,261,113,309,85,269,97,650,93,85,465,479,300,261,91,93,227,262,471,64,63,442,257,57,45,223,42,33,32,43,131,41
2018-10-22,23,20,19,19,10,174,12,6,5,183,4,1,3,9,5,0,3,7,1,170,11,203,17,15,14,23,169,31,54,290,298,455,391,1073,215,399,214,388,191,781,420,136,127,488,128,114,485,732,518,833,318,137,319,611,294,270,223,532,254,858,524,141,801,581,486,390,883,213,540,1127,484,267,339,164,654,1050,348,481,357,607,410,717,263,278,421,56,62,375,50,225,644,49,34,48,35,238
