t-4,t-3,t-2,t-1,Y
26.0,22.0,19.0,20.0,17.0
22.0,19.0,20.0,17.0,12.0
19.0,20.0,17.0,12.0,17.0
20.0,17.0,12.0,17.0,9.0
17.0,12.0,17.0,9.0,7.0
12.0,17.0,9.0,7.0,6.0
17.0,9.0,7.0,6.0,9.0
9.0,7.0,6.0,9.0,12.0
7.0,6.0,9.0,12.0,4.0
6.0,9.0,12.0,4.0,7.0
9.0,12.0,4.0,7.0,10.0
12.0,4.0,7.0,10.0,11.0
4.0,7.0,10.0,11.0,12.0
7.0,10.0,11.0,12.0,13.0
10.0,11.0,12.0,13.0,12.0
11.0,12.0,13.0,12.0,14.0
12.0,13.0,12.0,14.0,12.0
13.0,12.0,14.0,12.0,7.0
12.0,14.0,12.0,7.0,13.0
14.0,12.0,7.0,13.0,10.0
12.0,7.0,13.0,10.0,22.0
7.0,13.0,10.0,22.0,14.0
13.0,10.0,22.0,14.0,25.0
10.0,22.0,14.0,25.0,25.0
22.0,14.0,25.0,25.0,17.0
14.0,25.0,25.0,17.0,23.0
25.0,25.0,17.0,23.0,37.0
25.0,17.0,23.0,37.0,28.0
17.0,23.0,37.0,28.0,31.0
23.0,37.0,28.0,31.0,29.0
37.0,28.0,31.0,29.0,41.0
28.0,31.0,29.0,41.0,43.0
31.0,29.0,41.0,43.0,34.0
29.0,41.0,43.0,34.0,38.0
41.0,43.0,34.0,38.0,45.0
43.0,34.0,38.0,45.0,46.0
34.0,38.0,45.0,46.0,44.0
38.0,45.0,46.0,44.0,57.0
45.0,46.0,44.0,57.0,53.0
46.0,44.0,57.0,53.0,47.0
44.0,57.0,53.0,47.0,60.0
57.0,53.0,47.0,60.0,64.0
53.0,47.0,60.0,64.0,51.0
47.0,60.0,64.0,51.0,69.0
60.0,64.0,51.0,69.0,64.0
64.0,51.0,69.0,64.0,54.0
51.0,69.0,64.0,54.0,57.0
69.0,64.0,54.0,57.0,46.0
64.0,54.0,57.0,46.0,46.0
54.0,57.0,46.0,46.0,51.0
57.0,46.0,46.0,51.0,51.0
46.0,46.0,51.0,51.0,48.0
46.0,51.0,51.0,48.0,49.0
51.0,51.0,48.0,49.0,52.0
51.0,48.0,49.0,52.0,53.0
48.0,49.0,52.0,53.0,56.0
49.0,52.0,53.0,56.0,56.0
52.0,53.0,56.0,56.0,56.0
53.0,56.0,56.0,56.0,64.0
56.0,56.0,56.0,64.0,54.0
56.0,56.0,64.0,54.0,60.0
56.0,64.0,54.0,60.0,52.0
64.0,54.0,60.0,52.0,57.0
54.0,60.0,52.0,57.0,65.0
60.0,52.0,57.0,65.0,70.0
52.0,57.0,65.0,70.0,74.0
57.0,65.0,70.0,74.0,59.0
65.0,70.0,74.0,59.0,73.0
70.0,74.0,59.0,73.0,43.0
74.0,59.0,73.0,43.0,64.0
59.0,73.0,43.0,64.0,63.0
73.0,43.0,64.0,63.0,57.0
43.0,64.0,63.0,57.0,57.0
64.0,63.0,57.0,57.0,59.0
63.0,57.0,57.0,59.0,73.0
57.0,57.0,59.0,73.0,47.0
57.0,59.0,73.0,47.0,39.0
59.0,73.0,47.0,39.0,40.0
73.0,47.0,39.0,40.0,35.0
47.0,39.0,40.0,35.0,36.0
39.0,40.0,35.0,36.0,31.0
40.0,35.0,36.0,31.0,41.0
35.0,36.0,31.0,41.0,33.0
36.0,31.0,41.0,33.0,26.0
31.0,41.0,33.0,26.0,24.0
41.0,33.0,26.0,24.0,31.0
33.0,26.0,24.0,31.0,36.0
26.0,24.0,31.0,36.0,33.0
24.0,31.0,36.0,33.0,34.0
31.0,36.0,33.0,34.0,31.0
36.0,33.0,34.0,31.0,35.0
33.0,34.0,31.0,35.0,30.0
22.0,25.0,32.0,17.0,25.0
25.0,32.0,17.0,25.0,19.0
32.0,17.0,25.0,19.0,17.0
17.0,25.0,19.0,17.0,14.0
25.0,19.0,17.0,14.0,13.0
19.0,17.0,14.0,13.0,15.0
17.0,14.0,13.0,15.0,14.0
14.0,13.0,15.0,14.0,10.0
13.0,15.0,14.0,10.0,6.0
15.0,14.0,10.0,6.0,11.0
14.0,10.0,6.0,11.0,7.0
10.0,6.0,11.0,7.0,2.0
6.0,11.0,7.0,2.0,14.0
11.0,7.0,2.0,14.0,9.0
7.0,2.0,14.0,9.0,12.0
2.0,14.0,9.0,12.0,13.0
14.0,9.0,12.0,13.0,14.0
9.0,12.0,13.0,14.0,7.0
12.0,13.0,14.0,7.0,8.0
13.0,14.0,7.0,8.0,13.0
14.0,7.0,8.0,13.0,13.0
7.0,8.0,13.0,13.0,13.0
8.0,13.0,13.0,13.0,23.0
13.0,13.0,13.0,23.0,20.0
13.0,13.0,23.0,20.0,25.0
13.0,23.0,20.0,25.0,28.0
23.0,20.0,25.0,28.0,29.0
20.0,25.0,28.0,29.0,29.0
25.0,28.0,29.0,29.0,42.0
28.0,29.0,29.0,42.0,32.0
29.0,29.0,42.0,32.0,38.0
29.0,42.0,32.0,38.0,48.0
42.0,32.0,38.0,48.0,53.0
32.0,38.0,48.0,53.0,47.0
38.0,48.0,53.0,47.0,46.0
48.0,53.0,47.0,46.0,36.0
53.0,47.0,46.0,36.0,55.0
47.0,46.0,36.0,55.0,54.0
46.0,36.0,55.0,54.0,50.0
36.0,55.0,54.0,50.0,54.0
55.0,54.0,50.0,54.0,66.0
54.0,50.0,54.0,66.0,53.0
50.0,54.0,66.0,53.0,50.0
54.0,66.0,53.0,50.0,59.0
66.0,53.0,50.0,59.0,42.0
53.0,50.0,59.0,42.0,64.0
50.0,59.0,42.0,64.0,68.0
59.0,42.0,64.0,68.0,50.0
42.0,64.0,68.0,50.0,62.0
64.0,68.0,50.0,62.0,55.0
68.0,50.0,62.0,55.0,49.0
50.0,62.0,55.0,49.0,62.0
62.0,55.0,49.0,62.0,56.0
55.0,49.0,62.0,56.0,51.0
49.0,62.0,56.0,51.0,60.0
62.0,56.0,51.0,60.0,59.0
56.0,51.0,60.0,59.0,49.0
51.0,60.0,59.0,49.0,50.0
60.0,59.0,49.0,50.0,59.0
59.0,49.0,50.0,59.0,53.0
49.0,50.0,59.0,53.0,55.0
50.0,59.0,53.0,55.0,63.0
59.0,53.0,55.0,63.0,79.0
53.0,55.0,63.0,79.0,68.0
55.0,63.0,79.0,68.0,66.0
63.0,79.0,68.0,66.0,62.0
79.0,68.0,66.0,62.0,58.0
68.0,66.0,62.0,58.0,82.0
66.0,62.0,58.0,82.0,63.0
62.0,58.0,82.0,63.0,61.0
58.0,82.0,63.0,61.0,68.0
82.0,63.0,61.0,68.0,47.0
63.0,61.0,68.0,47.0,52.0
61.0,68.0,47.0,52.0,48.0
68.0,47.0,52.0,48.0,58.0
47.0,52.0,48.0,58.0,62.0
52.0,48.0,58.0,62.0,53.0
48.0,58.0,62.0,53.0,55.0
58.0,62.0,53.0,55.0,44.0
62.0,53.0,55.0,44.0,38.0
53.0,55.0,44.0,38.0,47.0
55.0,44.0,38.0,47.0,48.0
44.0,38.0,47.0,48.0,35.0
38.0,47.0,48.0,35.0,36.0
47.0,48.0,35.0,36.0,31.0
48.0,35.0,36.0,31.0,25.0
35.0,36.0,31.0,25.0,38.0
36.0,31.0,25.0,38.0,34.0
31.0,25.0,38.0,34.0,31.0
25.0,38.0,34.0,31.0,37.0
38.0,34.0,31.0,37.0,31.0
34.0,31.0,37.0,31.0,26.0
23.0,32.0,29.33333333333333,17.0,23.0
32.0,29.33333333333333,17.0,23.0,25.0
29.33333333333333,17.0,23.0,25.0,16.0
17.0,23.0,25.0,16.0,18.0
23.0,25.0,16.0,18.0,21.0
25.0,16.0,18.0,21.0,18.0
16.0,18.0,21.0,18.0,13.0
18.0,21.0,18.0,13.0,13.0
21.0,18.0,13.0,13.0,14.0
18.0,13.0,13.0,14.0,18.0
13.0,13.0,14.0,18.0,23.0
13.0,14.0,18.0,23.0,17.0
14.0,18.0,23.0,17.0,18.0
18.0,23.0,17.0,18.0,16.0
23.0,17.0,18.0,16.0,13.0
17.0,18.0,16.0,13.0,17.0
18.0,16.0,13.0,17.0,16.0
16.0,13.0,17.0,16.0,11.0
13.0,17.0,16.0,11.0,11.0
17.0,16.0,11.0,11.0,15.0
16.0,11.0,11.0,15.0,20.0
11.0,11.0,15.0,20.0,21.0
11.0,15.0,20.0,21.0,15.0
15.0,20.0,21.0,15.0,23.0
20.0,21.0,15.0,23.0,19.0
21.0,15.0,23.0,19.0,23.0
15.0,23.0,19.0,23.0,17.0
23.0,19.0,23.0,17.0,21.0
19.0,23.0,17.0,21.0,22.0
23.0,17.0,21.0,22.0,22.0
17.0,21.0,22.0,22.0,28.0
21.0,22.0,22.0,28.0,27.0
22.0,22.0,28.0,27.0,26.0
22.0,28.0,27.0,26.0,30.0
28.0,27.0,26.0,30.0,29.0
27.0,26.0,30.0,29.0,27.0
26.0,30.0,29.0,27.0,34.0
30.0,29.0,27.0,34.0,19.0
29.0,27.0,34.0,19.0,37.0
27.0,34.0,19.0,37.0,36.0
34.0,19.0,37.0,36.0,38.0
19.0,37.0,36.0,38.0,34.0
37.0,36.0,38.0,34.0,40.0
36.0,38.0,34.0,40.0,41.0
38.0,34.0,40.0,41.0,44.0
34.0,40.0,41.0,44.0,35.0
40.0,41.0,44.0,35.0,43.0
41.0,44.0,35.0,43.0,28.0
44.0,35.0,43.0,28.0,22.0
35.0,43.0,28.0,22.0,33.0
43.0,28.0,22.0,33.0,45.0
28.0,22.0,33.0,45.0,34.0
22.0,33.0,45.0,34.0,34.0
33.0,45.0,34.0,34.0,31.0
45.0,34.0,34.0,31.0,35.0
34.0,34.0,31.0,35.0,40.0
34.0,31.0,35.0,40.0,36.0
31.0,35.0,40.0,36.0,38.0
35.0,40.0,36.0,38.0,32.0
40.0,36.0,38.0,32.0,38.0
36.0,38.0,32.0,38.0,36.0
38.0,32.0,38.0,36.0,44.0
32.0,38.0,36.0,44.0,33.0
38.0,36.0,44.0,33.0,48.0
36.0,44.0,33.0,48.0,36.0
44.0,33.0,48.0,36.0,38.0
33.0,48.0,36.0,38.0,24.0
48.0,36.0,38.0,24.0,28.0
36.0,38.0,24.0,28.0,28.0
38.0,24.0,28.0,28.0,41.0
24.0,28.0,28.0,41.0,39.0
28.0,28.0,41.0,39.0,46.0
28.0,41.0,39.0,46.0,41.0
41.0,39.0,46.0,41.0,28.0
39.0,46.0,41.0,28.0,37.0
46.0,41.0,28.0,37.0,47.0
41.0,28.0,37.0,47.0,39.0
28.0,37.0,47.0,39.0,36.0
37.0,47.0,39.0,36.0,27.0
47.0,39.0,36.0,27.0,31.0
39.0,36.0,27.0,31.0,22.0
36.0,27.0,31.0,22.0,30.0
27.0,31.0,22.0,30.0,31.0
31.0,22.0,30.0,31.0,28.0
22.0,30.0,31.0,28.0,34.0
30.0,31.0,28.0,34.0,26.0
31.0,28.0,34.0,26.0,28.0
28.0,34.0,26.0,28.0,37.0
34.0,26.0,28.0,37.0,29.0
26.0,28.0,37.0,29.0,28.0
28.0,37.0,29.0,28.0,38.0
37.0,29.0,28.0,38.0,28.0
28.0,27.0,26.0,18.0,20.0
27.0,26.0,18.0,20.0,13.0
26.0,18.0,20.0,13.0,11.0
18.0,20.0,13.0,11.0,9.0
20.0,13.0,11.0,9.0,12.0
13.0,11.0,9.0,12.0,8.0
11.0,9.0,12.0,8.0,11.0
9.0,12.0,8.0,11.0,5.0
12.0,8.0,11.0,5.0,6.0
8.0,11.0,5.0,6.0,9.0
11.0,5.0,6.0,9.0,11.0
5.0,6.0,9.0,11.0,6.0
6.0,9.0,11.0,6.0,11.0
9.0,11.0,6.0,11.0,10.0
11.0,6.0,11.0,10.0,14.0
6.0,11.0,10.0,14.0,7.0
11.0,10.0,14.0,7.0,6.0
10.0,14.0,7.0,6.0,11.0
14.0,7.0,6.0,11.0,12.0
7.0,6.0,11.0,12.0,14.0
6.0,11.0,12.0,14.0,21.0
11.0,12.0,14.0,21.0,11.0
12.0,14.0,21.0,11.0,20.0
14.0,21.0,11.0,20.0,25.0
21.0,11.0,20.0,25.0,31.0
11.0,20.0,25.0,31.0,19.0
20.0,25.0,31.0,19.0,31.0
25.0,31.0,19.0,31.0,41.0
31.0,19.0,31.0,41.0,32.0
19.0,31.0,41.0,32.0,34.0
31.0,41.0,32.0,34.0,26.0
41.0,32.0,34.0,26.0,46.0
32.0,34.0,26.0,46.0,42.0
34.0,26.0,46.0,42.0,51.0
26.0,46.0,42.0,51.0,50.0
46.0,42.0,51.0,50.0,66.0
42.0,51.0,50.0,66.0,58.0
51.0,50.0,66.0,58.0,52.0
50.0,66.0,58.0,52.0,53.0
66.0,58.0,52.0,53.0,52.0
58.0,52.0,53.0,52.0,51.0
52.0,53.0,52.0,51.0,61.0
53.0,52.0,51.0,61.0,54.0
52.0,51.0,61.0,54.0,51.0
51.0,61.0,54.0,51.0,57.0
61.0,54.0,51.0,57.0,68.0
54.0,51.0,57.0,68.0,55.0
51.0,57.0,68.0,55.0,55.0
57.0,68.0,55.0,55.0,63.0
68.0,55.0,55.0,63.0,44.0
55.0,55.0,63.0,44.0,40.0
55.0,63.0,44.0,40.0,44.0
63.0,44.0,40.0,44.0,51.0
44.0,40.0,44.0,51.0,48.0
40.0,44.0,51.0,48.0,48.0
44.0,51.0,48.0,48.0,51.0
51.0,48.0,48.0,51.0,55.0
48.0,48.0,51.0,55.0,49.0
48.0,51.0,55.0,49.0,54.0
51.0,55.0,49.0,54.0,54.0
55.0,49.0,54.0,54.0,57.0
49.0,54.0,54.0,57.0,66.0
54.0,54.0,57.0,66.0,55.0
54.0,57.0,66.0,55.0,70.0
57.0,66.0,55.0,70.0,46.0
66.0,55.0,70.0,46.0,61.0
55.0,70.0,46.0,61.0,78.0
70.0,46.0,61.0,78.0,82.0
46.0,61.0,78.0,82.0,51.0
